gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0W1, d0W0.704688, d0W0.829029, d0W0.548812, d0W0.61416, d0W0.704688, d0W0.472367, d0W0.502832, d0W0.548812, d0W0.61416, d0W0.449329, d0W0.454981, d0W0.472367, d0W0.502832, d0W0.548812, d0W0.472367, d0W0.454981, d0W0.449329, d0W0.454981, d0W0.472367, d0W0.502832, d0W0.548812, d0W0.502832, d0W0.472367, d0W0.454981, d0W0.449329, d0W0.454981, d0W0.472367, d0W0.704688, d0W0.61416, d0W0.548812, d0W0.502832, d0W0.472367, d0W0.454981, d0W0.449329, d0W0.454981, d0W1, d0W0.829029, d0W0.704688, d0W0.61416, d0W0.548812, d0W0.502832, d0W0.472367, d0W0.454981, d0W0.449329, d1W1, d1W0.704688, d1W0.829029, d1W0.548812, d1W0.61416, d1W0.704688, d1W0.472367, d1W0.502832, d1W0.548812, d1W0.61416, d1W0.449329, d1W0.454981, d1W0.472367, d1W0.502832, d1W0.548812, d1W0.472367, d1W0.454981, d1W0.449329, d1W0.454981, d1W0.472367, d1W0.502832, d1W0.548812, d1W0.502832, d1W0.472367, d1W0.454981, d1W0.449329, d1W0.454981, d1W0.472367, d1W0.704688, d1W0.61416, d1W0.548812, d1W0.502832, d1W0.472367, d1W0.454981, d1W0.449329, d1W0.454981, d1W1, d1W0.829029, d1W0.704688, d1W0.61416, d1W0.548812, d1W0.502832, d1W0.472367, d1W0.454981, d1W0.449329, d2W1, d2W0.704688, d2W0.829029, d2W0.548812, d2W0.61416, d2W0.704688, d2W0.472367, d2W0.502832, d2W0.548812, d2W0.61416, d2W0.449329, d2W0.454981, d2W0.472367, d2W0.502832, d2W0.548812, d2W0.472367, d2W0.454981, d2W0.449329, d2W0.454981, d2W0.472367, d2W0.502832, d2W0.548812, d2W0.502832, d2W0.472367, d2W0.454981, d2W0.449329, d2W0.454981, d2W0.472367, d2W0.704688, d2W0.61416, d2W0.548812, d2W0.502832, d2W0.472367, d2W0.454981, d2W0.449329, d2W0.454981, d2W1, d2W0.829029, d2W0.704688, d2W0.61416, d2W0.548812, d2W0.502832, d2W0.472367, d2W0.454981, d2W0.449329, d3W1, d3W0.704688, d3W0.829029, d3W0.548812, d3W0.61416, d3W0.704688, d3W0.472367, d3W0.502832, d3W0.548812, d3W0.61416, d3W0.449329, d3W0.454981, d3W0.472367, d3W0.502832, d3W0.548812, d3W0.472367, d3W0.454981, d3W0.449329, d3W0.454981, d3W0.472367, d3W0.502832, d3W0.548812, d3W0.502832, d3W0.472367, d3W0.454981, d3W0.449329, d3W0.454981, d3W0.472367, d3W0.704688, d3W0.61416, d3W0.548812, d3W0.502832, d3W0.472367, d3W0.454981, d3W0.449329, d3W0.454981, d3W1, d3W0.829029, d3W0.704688, d3W0.61416, d3W0.548812, d3W0.502832, d3W0.472367, d3W0.454981, d3W0.449329, d4W1, d4W0.704688, d4W0.829029, d4W0.548812, d4W0.61416, d4W0.704688, d4W0.472367, d4W0.502832, d4W0.548812, d4W0.61416, d4W0.449329, d4W0.454981, d4W0.472367, d4W0.502832, d4W0.548812, d4W0.472367, d4W0.454981, d4W0.449329, d4W0.454981, d4W0.472367, d4W0.502832, d4W0.548812, d4W0.502832, d4W0.472367, d4W0.454981, d4W0.449329, d4W0.454981, d4W0.472367, d4W0.704688, d4W0.61416, d4W0.548812, d4W0.502832, d4W0.472367, d4W0.454981, d4W0.449329, d4W0.454981, d4W1, d4W0.829029, d4W0.704688, d4W0.61416, d4W0.548812, d4W0.502832, d4W0.472367, d4W0.454981, d4W0.449329, d5W1, d5W0.704688, d5W0.829029, d5W0.548812, d5W0.61416, d5W0.704688, d5W0.472367, d5W0.502832, d5W0.548812, d5W0.61416, d5W0.449329, d5W0.454981, d5W0.472367, d5W0.502832, d5W0.548812, d5W0.472367, d5W0.454981, d5W0.449329, d5W0.454981, d5W0.472367, d5W0.502832, d5W0.548812, d5W0.502832, d5W0.472367, d5W0.454981, d5W0.449329, d5W0.454981, d5W0.472367, d5W0.704688, d5W0.61416, d5W0.548812, d5W0.502832, d5W0.472367, d5W0.454981, d5W0.449329, d5W0.454981, d5W1, d5W0.829029, d5W0.704688, d5W0.61416, d5W0.548812, d5W0.502832, d5W0.472367, d5W0.454981, d5W0.449329, d6W1, d6W0.704688, d6W0.829029, d6W0.548812, d6W0.61416, d6W0.704688, d6W0.472367, d6W0.502832, d6W0.548812, d6W0.61416, d6W0.449329, d6W0.454981, d6W0.472367, d6W0.502832, d6W0.548812, d6W0.472367, d6W0.454981, d6W0.449329, d6W0.454981, d6W0.472367, d6W0.502832, d6W0.548812, d6W0.502832, d6W0.472367, d6W0.454981, d6W0.449329, d6W0.454981, d6W0.472367, d6W0.704688, d6W0.61416, d6W0.548812, d6W0.502832, d6W0.472367, d6W0.454981, d6W0.449329, d6W0.454981, d6W1, d6W0.829029, d6W0.704688, d6W0.61416, d6W0.548812, d6W0.502832, d6W0.472367, d6W0.454981, d6W0.449329, d7W1, d7W0.704688, d7W0.829029, d7W0.548812, d7W0.61416, d7W0.704688, d7W0.472367, d7W0.502832, d7W0.548812, d7W0.61416, d7W0.449329, d7W0.454981, d7W0.472367, d7W0.502832, d7W0.548812, d7W0.472367, d7W0.454981, d7W0.449329, d7W0.454981, d7W0.472367, d7W0.502832, d7W0.548812, d7W0.502832, d7W0.472367, d7W0.454981, d7W0.449329, d7W0.454981, d7W0.472367, d7W0.704688, d7W0.61416, d7W0.548812, d7W0.502832, d7W0.472367, d7W0.454981, d7W0.449329, d7W0.454981, d7W1, d7W0.829029, d7W0.704688, d7W0.61416, d7W0.548812, d7W0.502832, d7W0.472367, d7W0.454981, d7W0.449329, 
0, 1,1,0.9875,0.8625,0.22,0.0275,0,0,1,1,0.9775,0.84,0.165,0.0275,0.005,0,0.9975,0.9925,0.99,0.825,0.175,0.0075,0.0025,0,1,1,0.99,0.855,0.1875,0.005,0,0,1,1,0.9825,0.8125,0.1275,0.0175,0,0,0.9925,0.9975,0.9925,0.8425,0.1975,0.0125,0.0025,0.0125,0.995,1,0.965,0.8225,0.2075,0.0225,0,0,1,1,0.995,0.81,0.1525,0.0175,0.0025,0,196,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,4,0,0,0,0,0,0,0,194,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,6,0,0,0,0,0,0,0,163,3,31,0,1,3,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,1,1,163,31,3,1,0,0,0,1,1,71,27,58,8,10,27,5,6,8,10,6,9,5,6,8,5,9,6,9,5,6,8,6,5,9,6,9,5,27,10,8,6,5,9,6,9,71,58,27,10,8,6,5,9,6,53,23,43,12,22,23,13,9,12,22,14,11,13,9,12,13,11,14,11,13,9,12,9,13,11,14,11,13,23,22,12,9,13,11,14,11,53,43,23,22,12,9,13,11,14,162,2,25,2,4,2,1,1,2,4,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,4,2,1,1,1,2,1,162,25,2,4,2,1,1,1,2,193,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,193,6,0,1,0,0,0,0,0,197,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,3,0,0,0,0,0,0,0,
10, 1,0.9975,0.995,0.8725,0.14,0.0175,0,0.0025,0.9925,0.9975,0.995,0.805,0.145,0.0475,0.0125,0.0075,1,1,0.98,0.83,0.1175,0.0075,0.0025,0,1,0.9775,0.9675,0.8225,0.1475,0.0175,0,0,1,1,0.995,0.855,0.1475,0.0175,0,0,0.9975,1,0.99,0.855,0.135,0.0225,0.005,0.0075,1,0.9975,0.985,0.84,0.1525,0.015,0.035,0.0075,0.9975,0.995,0.99,0.8175,0.145,0.0225,0,0,197,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,3,0,0,0,0,0,0,0,192,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,192,7,1,0,0,0,0,0,0,168,4,23,1,2,4,1,0,1,2,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,4,2,1,0,1,1,0,1,168,23,4,2,1,0,1,1,0,74,39,38,7,11,39,4,8,7,11,9,10,4,8,7,4,10,9,10,4,8,7,8,4,10,9,10,4,39,11,7,8,4,10,9,10,74,38,39,11,7,8,4,10,9,62,38,50,6,20,38,1,7,6,20,10,6,1,7,6,1,6,10,6,1,7,6,7,1,6,10,6,1,38,20,6,7,1,6,10,6,62,50,38,20,6,7,1,6,10,163,3,28,1,1,3,0,0,1,1,3,1,0,0,1,0,1,3,1,0,0,1,0,0,1,3,1,0,3,1,1,0,0,1,3,1,163,28,3,1,1,0,0,1,3,182,1,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,182,17,1,0,0,0,0,0,0,186,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,14,0,0,0,0,0,0,0,
20, 1,0.9975,0.98,0.8775,0.1,0.0175,0,0.0025,1,1,0.9925,0.905,0.1025,0.02,0,0,1,1,0.9925,0.8425,0.105,0.0025,0,0,1,0.9975,0.985,0.89,0.13,0.0075,0,0,1,1,0.96,0.8725,0.115,0.01,0,0,1,1,0.9825,0.925,0.1375,0.015,0,0,1,1,0.9875,0.88,0.1275,0.02,0,0,1,1,0.98,0.8625,0.105,0.0175,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,197,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,3,0,0,0,0,0,0,0,169,3,26,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,169,26,3,2,0,0,0,0,0,60,26,61,5,13,26,5,8,5,13,16,6,5,8,5,5,6,16,6,5,8,5,8,5,6,16,6,5,26,13,5,8,5,6,16,6,60,61,26,13,5,8,5,6,16,97,21,50,5,8,21,2,3,5,8,8,6,2,3,5,2,6,8,6,2,3,5,3,2,6,8,6,2,21,8,5,3,2,6,8,6,97,50,21,8,5,3,2,6,8,176,3,19,1,0,3,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0,0,1,0,176,19,3,0,1,0,0,0,1,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,1,0,0,0,0,0,0,0,198,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,2,0,0,0,0,0,0,0,
30, 1,1,0.985,0.895,0.1775,0.0275,0.015,0.0075,1,1,0.9825,0.92,0.165,0.0275,0,0,1,0.9975,0.97,0.88,0.165,0.025,0,0,1,1,0.99,0.925,0.1775,0.025,0.0025,0,0.9975,0.9875,0.985,0.9125,0.155,0.02,0.0025,0,1,1,0.99,0.9225,0.18,0.0175,0,0,1,1,0.9825,0.91,0.1575,0.0225,0,0,1,1,0.98,0.915,0.18,0.025,0,0,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,1,0,0,0,0,0,0,0,197,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,3,0,0,0,0,0,0,0,181,2,15,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,181,15,2,2,0,0,0,0,0,106,20,34,12,12,20,5,6,12,12,2,3,5,6,12,5,3,2,3,5,6,12,6,5,3,2,3,5,20,12,12,6,5,3,2,3,106,34,20,12,12,6,5,3,2,81,12,43,9,11,12,10,11,9,11,17,6,10,11,9,10,6,17,6,10,11,9,11,10,6,17,6,10,12,11,9,11,10,6,17,6,81,43,12,11,9,11,10,6,17,186,3,5,2,1,3,0,1,2,1,1,1,0,1,2,0,1,1,1,0,1,2,1,0,1,1,1,0,3,1,2,1,0,1,1,1,186,5,3,1,2,1,0,1,1,193,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,7,0,0,0,0,0,0,0,197,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,3,0,0,0,0,0,0,0,
40, 1,1,0.99,0.8725,0.1925,0.015,0.0125,0.005,1,0.9975,0.985,0.87,0.2075,0.025,0,0,1,0.9975,0.99,0.8525,0.2025,0.0275,0.0025,0,1,0.995,0.9775,0.815,0.2475,0.0475,0.0025,0,1,0.995,0.9775,0.84,0.2075,0.0225,0,0,1,1,0.99,0.8425,0.1775,0.0275,0,0,1,1,0.9875,0.8525,0.19,0.035,0.005,0,1,0.9975,0.98,0.8575,0.2175,0.025,0.01,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,196,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,4,0,0,0,0,0,0,0,183,1,11,1,1,1,0,1,1,1,2,0,0,1,1,0,0,2,0,0,1,1,1,0,0,2,0,0,1,1,1,1,0,0,2,0,183,11,1,1,1,1,0,0,2,98,18,38,4,11,18,8,8,4,11,10,5,8,8,4,8,5,10,5,8,8,4,8,8,5,10,5,8,18,11,4,8,8,5,10,5,98,38,18,11,4,8,8,5,10,69,25,46,8,18,25,7,7,8,18,11,9,7,7,8,7,9,11,9,7,7,8,7,7,9,11,9,7,25,18,8,7,7,9,11,9,69,46,25,18,8,7,7,9,11,169,2,21,0,4,2,1,2,0,4,1,0,1,2,0,1,0,1,0,1,2,0,2,1,0,1,0,1,2,4,0,2,1,0,1,0,169,21,2,4,0,2,1,0,1,191,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,9,0,0,0,0,0,0,0,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,1,0,0,0,0,0,0,0,
50, 1,0.9975,0.99,0.8775,0.1175,0,0,0,1,0.9925,0.995,0.88,0.11,0,0,0,0.9975,0.9975,0.9975,0.89,0.1125,0.005,0.0025,0,1,0.9925,0.98,0.9,0.15,0.005,0.005,0,1,1,0.9925,0.86,0.115,0.0075,0,0,1,1,0.9925,0.8875,0.12,0.01,0,0,1,1,0.9975,0.895,0.15,0.0075,0.0075,0,0.99,0.995,0.9925,0.845,0.1125,0.01,0,0,195,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,5,0,0,0,0,0,0,0,190,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,10,0,0,0,0,0,0,0,173,1,22,1,3,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,173,22,1,3,1,0,0,0,0,107,18,39,8,10,18,3,6,8,10,5,4,3,6,8,3,4,5,4,3,6,8,6,3,4,5,4,3,18,10,8,6,3,4,5,4,107,39,18,10,8,6,3,4,5,91,25,44,8,13,25,4,8,8,13,4,3,4,8,8,4,3,4,3,4,8,8,8,4,3,4,3,4,25,13,8,8,4,3,4,3,91,44,25,13,8,8,4,3,4,172,3,23,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,172,23,3,2,0,0,0,0,0,191,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,9,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
60, 1,1,0.995,0.845,0.1225,0.005,0,0,1,1,0.99,0.8425,0.1325,0.005,0,0,1,1,0.98,0.825,0.105,0.0075,0.005,0,0.9925,0.9925,0.9975,0.81,0.17,0.005,0,0,1,0.9975,0.985,0.8125,0.0925,0.0125,0.0025,0,0.99,0.9975,0.99,0.8525,0.15,0.0025,0,0,1,0.9975,0.98,0.8325,0.11,0.0175,0.01,0.0075,0.995,0.9975,0.99,0.8,0.105,0.01,0,0,193,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,193,6,1,0,0,0,0,0,0,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,1,0,0,0,0,0,0,0,174,3,16,3,3,3,1,0,3,3,0,0,1,0,3,1,0,0,0,1,0,3,0,1,0,0,0,1,3,3,3,0,1,0,0,0,174,16,3,3,3,0,1,0,0,78,21,39,15,12,21,8,7,15,12,7,13,8,7,15,8,13,7,13,8,7,15,7,8,13,7,13,8,21,12,15,7,8,13,7,13,78,39,21,12,15,7,8,13,7,85,21,41,11,21,21,5,7,11,21,3,6,5,7,11,5,6,3,6,5,7,11,7,5,6,3,6,5,21,21,11,7,5,6,3,6,85,41,21,21,11,7,5,6,3,170,4,19,4,0,4,1,1,4,0,0,1,1,1,4,1,1,0,1,1,1,4,1,1,1,0,1,1,4,0,4,1,1,1,0,1,170,19,4,0,4,1,1,1,0,193,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,7,0,0,0,0,0,0,0,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,1,0,0,0,0,0,0,0,
70, 1,1,0.98,0.8725,0.1525,0.0125,0,0,1,1,0.985,0.88,0.12,0.0225,0.0025,0,1,0.995,0.9825,0.875,0.17,0.0175,0,0,1,1,0.9875,0.8425,0.1175,0.015,0,0,1,0.995,0.98,0.84,0.1275,0.0175,0.0025,0,0.9875,1,0.98,0.8425,0.1275,0.0175,0,0,1,1,0.9825,0.8925,0.09,0,0,0,1,1,0.99,0.8525,0.1475,0.0075,0,0,197,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,3,0,0,0,0,0,0,0,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,1,0,0,0,0,0,0,0,176,2,19,1,1,2,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,0,1,0,176,19,2,1,1,0,0,0,1,63,33,48,11,21,33,3,5,11,21,8,8,3,5,11,3,8,8,8,3,5,11,5,3,8,8,8,3,33,21,11,5,3,8,8,8,63,48,33,21,11,5,3,8,8,103,17,48,9,12,17,0,3,9,12,4,4,0,3,9,0,4,4,4,0,3,9,3,0,4,4,4,0,17,12,9,3,0,4,4,4,103,48,17,12,9,3,0,4,4,167,7,21,0,3,7,1,0,0,3,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,7,3,0,0,1,0,1,0,167,21,7,3,0,0,1,0,1,199,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,199,0,1,0,0,0,0,0,0,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,1,0,0,0,0,0,0,0,
80, 1,1,0.965,0.77,0.12,0.005,0,0,1,1,0.985,0.7425,0.125,0.0075,0.0075,0.005,1,1,0.9825,0.7325,0.115,0.0475,0,0,1,0.995,0.98,0.73,0.145,0.0125,0.0175,0,1,1,0.98,0.75,0.135,0.0025,0,0,1,1,0.98,0.745,0.1225,0.0025,0,0,1,0.9975,0.97,0.7425,0.1075,0.0125,0.0025,0,1,0.9975,0.96,0.73,0.1225,0.0125,0.0025,0.0025,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,198,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,2,0,0,0,0,0,0,0,159,8,23,3,1,8,1,3,3,1,1,1,1,3,3,1,1,1,1,1,3,3,3,1,1,1,1,1,8,1,3,3,1,1,1,1,159,23,8,1,3,3,1,1,1,71,20,34,9,12,20,9,13,9,12,19,13,9,13,9,9,13,19,13,9,13,9,13,9,13,19,13,9,20,12,9,13,9,13,19,13,71,34,20,12,9,13,9,13,19,121,13,40,1,6,13,1,3,1,6,9,6,1,3,1,1,6,9,6,1,3,1,3,1,6,9,6,1,13,6,1,3,1,6,9,6,121,40,13,6,1,3,1,6,9,170,4,24,2,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,2,0,0,0,0,0,170,24,4,0,2,0,0,0,0,183,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,17,0,0,0,0,0,0,0,198,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,2,0,0,0,0,0,0,0,
90, 1,1,0.9675,0.7825,0.085,0.0075,0.0025,0,1,1,0.98,0.765,0.0725,0.0025,0.0075,0,1,0.9975,0.9775,0.7575,0.0775,0.005,0.0075,0,1,1,0.9675,0.74,0.0975,0.0125,0.005,0,1,0.995,0.9625,0.7625,0.06,0.0125,0.005,0,1,0.9925,0.9725,0.7625,0.055,0.01,0.0025,0,0.995,0.98,0.9625,0.79,0.1075,0.0175,0,0.0075,0.9975,0.9975,0.9675,0.79,0.065,0.0025,0.0025,0,198,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,2,0,0,0,0,0,0,0,187,2,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,187,11,2,0,0,0,0,0,0,156,7,29,1,4,7,0,1,1,4,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,7,4,1,1,0,1,1,1,156,29,7,4,1,1,0,1,1,48,30,43,11,18,30,8,12,11,18,14,16,8,12,11,8,16,14,16,8,12,11,12,8,16,14,16,8,30,18,11,12,8,16,14,16,48,43,30,18,11,12,8,16,14,108,21,45,4,10,21,0,2,4,10,4,6,0,2,4,0,6,4,6,0,2,4,2,0,6,4,6,0,21,10,4,2,0,6,4,6,108,45,21,10,4,2,0,6,4,173,3,22,0,0,3,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,3,0,0,0,1,0,1,0,173,22,3,0,0,0,1,0,1,196,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,196,3,0,1,0,0,0,0,0,196,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,4,0,0,0,0,0,0,0,
